ts_code,trade_date,adj_factor
600519.SH,20040921,1.626
600519.SH,20040922,1.626
600519.SH,20040923,1.626
600519.SH,20040924,1.626
600519.SH,20040927,1.626
600519.SH,20040928,1.626
600519.SH,20040929,1.626
600519.SH,20040930,1.626
600519.SH,20041008,1.626
600519.SH,20041011,1.626
600519.SH,20041012,1.626
600519.SH,20041013,1.626
600519.SH,20041014,1.626
600519.SH,20041015,1.626
600519.SH,20041018,1.626
600519.SH,20041019,1.626
600519.SH,20041020,1.626
600519.SH,20041021,1.626
600519.SH,20041022,1.626
600519.SH,20041025,1.626
600519.SH,20041026,1.626
600519.SH,20041027,1.626
600519.SH,20041028,1.626
600519.SH,20041029,1.626
600519.SH,20041101,1.626
600519.SH,20041102,1.626
600519.SH,20041103,1.626
600519.SH,20041104,1.626
600519.SH,20041105,1.626
600519.SH,20041108,1.626
600519.SH,20041109,1.626
600519.SH,20041110,1.626
600519.SH,20041111,1.626
600519.SH,20041112,1.626
600519.SH,20041115,1.626
600519.SH,20041116,1.626
600519.SH,20041117,1.626
600519.SH,20041118,1.626
600519.SH,20041119,1.626
600519.SH,20041122,1.626
600519.SH,20041123,1.626
600519.SH,20041124,1.626
600519.SH,20041125,1.626
600519.SH,20041126,1.626
600519.SH,20041129,1.626
600519.SH,20041130,1.626
600519.SH,20041201,1.626
600519.SH,20041202,1.626
600519.SH,20041203,1.626
600519.SH,20041206,1.626
600519.SH,20041207,1.626
600519.SH,20041208,1.626
600519.SH,20041209,1.626
600519.SH,20041210,1.626
600519.SH,20041213,1.626
600519.SH,20041214,1.626
600519.SH,20041215,1.626
600519.SH,20041216,1.626
600519.SH,20041217,1.626
600519.SH,20041220,1.626
600519.SH,20041221,1.626
600519.SH,20041222,1.626
600519.SH,20041223,1.626
600519.SH,20041224,1.626
600519.SH,20041227,1.626
600519.SH,20041228,1.626
600519.SH,20041229,1.626
600519.SH,20041230,1.626
600519.SH,20041231,1.626
600519.SH,20050104,1.626
600519.SH,20050105,1.626
600519.SH,20050106,1.626
600519.SH,20050107,1.626
600519.SH,20050110,1.626
600519.SH,20050111,1.626
600519.SH,20050112,1.626
600519.SH,20050113,1.626
600519.SH,20050114,1.626
600519.SH,20050117,1.626
600519.SH,20050118,1.626
600519.SH,20050119,1.626
600519.SH,20050120,1.626
600519.SH,20050121,1.626
600519.SH,20050124,1.626
600519.SH,20050125,1.626
600519.SH,20050126,1.626
600519.SH,20050127,1.626
600519.SH,20050128,1.626
600519.SH,20050131,1.626
600519.SH,20050201,1.626
600519.SH,20050202,1.626
600519.SH,20050203,1.626
600519.SH,20050204,1.626
600519.SH,20050216,1.626
600519.SH,20050217,1.626
600519.SH,20050218,1.626
600519.SH,20050221,1.626
600519.SH,20050222,1.626
600519.SH,20050223,1.626
600519.SH,20050224,1.626
600519.SH,20050225,1.626
600519.SH,20050228,1.626
600519.SH,20050301,1.626
600519.SH,20050302,1.626
600519.SH,20050303,1.626
600519.SH,20050304,1.626
600519.SH,20050307,1.626
600519.SH,20050308,1.626
600519.SH,20050309,1.626
600519.SH,20050310,1.626
600519.SH,20050311,1.626
600519.SH,20050314,1.626
600519.SH,20050315,1.626
600519.SH,20050316,1.626
600519.SH,20050317,1.626
600519.SH,20050318,1.626
600519.SH,20050321,1.626
600519.SH,20050322,1.626
600519.SH,20050323,1.626
600519.SH,20050324,1.626
600519.SH,20050325,1.626
600519.SH,20050328,1.626
600519.SH,20050329,1.626
600519.SH,20050330,1.626
600519.SH,20050331,1.626
600519.SH,20050401,1.626
600519.SH,20050404,1.626
600519.SH,20050405,1.626
600519.SH,20050406,1.626
600519.SH,20050407,1.626
600519.SH,20050408,1.626
600519.SH,20050411,1.626
600519.SH,20050412,1.626
600519.SH,20050413,1.626
